,iyear,imonth,iday,country,region,provstate,city,latitude,longitude,attacktype1,attacktype2,attacktype3,targtype1,natlty1,targtype2,natlty2,targtype3,natlty3,gname,gname2,gname3,weaptype1,weaptype2,weaptype3,weaptype4,nkill,nwound,population
16796,2012,4,12,95,10,Kirkuk,Kharbat Aziz,"35,278889","43,994167",2,,,3,95.0,,,,,Al-Naqshabandiya Army,,,5,,,,2.0,3,0.0
16804,2012,4,12,228,10,Abyan,Mudiyah,"13,92892","46,079399",9,,,17,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,13,,,,3.0,,0.0
16805,2012,4,12,228,10,Hadramawt,,"16,930414","49,365315",9,,,3,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,13,,,,8.0,6,1.0
16834,2012,4,14,228,10,Adan,Jawalah,"12,8","45,033333",2,,,4,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,5.0,,,12.0,0,550602.0
16866,2012,4,15,228,10,Hadramawt,Reida,"15,219678","48,983316",6,,,3,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,5,,,,,,0.0
16867,2012,4,15,228,10,Hadramawt,Qatn,"15,840202","48,45438",3,,,14,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,3.0,1,0.0
16906,2012,4,15,228,10,Abyan,Al-Hodn,"13,883333","45,866667",3,,,14,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,5.0,0,0.0
16907,2012,4,15,228,10,Abyan,Lawdar,"13,887403","45,863647",2,,,4,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,5.0,,,8.0,0,0.0
16930,2012,4,17,228,10,Al Bayda,Mukayras,"13,943889","45,673611",3,,,4,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,6.0,5,0.0
16967,2012,4,18,228,10,Adan,Buriga,"12,8","45,033333",3,,,4,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,1.0,0,550602.0
16969,2012,4,19,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,2,95.0,14.0,95.0,,,Al-Qaida in Iraq,,,6,,,,2.0,4,7216000.0
16970,2012,4,19,95,10,Saladin,Samarra,"34,208416","43,890713",3,,,17,95.0,14.0,95.0,,,Al-Qaida in Iraq,,,6,,,,2.0,1,158508.0
16971,2012,4,19,95,10,Saladin,Samarra,"34,208416","43,890713",3,,,17,95.0,14.0,95.0,,,Al-Qaida in Iraq,,,6,,,,2.0,5,158508.0
16972,2012,4,19,95,10,Saladin,Tarmiyah,"33,669689","44,381317",3,,,4,95.0,,,,,Al-Qaida in Iraq,,,6,,,,2.0,5,0.0
16973,2012,4,19,95,10,Diyala,Baqubah,"33,74324","44,623825",3,,,3,95.0,14.0,95.0,,,Al-Qaida in Iraq,,,6,,,,2.0,11,152550.0
16974,2012,4,19,95,10,Kirkuk,Kirkuk,"35,45211","44,375465",3,,,3,95.0,14.0,95.0,,,Al-Qaida in Iraq,,,6,,,,4.0,23,601433.0
16975,2012,4,19,95,10,Kirkuk,Dibis,"35,672932","44,070145",3,,,4,95.0,14.0,95.0,,,Al-Qaida in Iraq,,,6,,,,5.0,6,0.0
16977,2012,4,19,95,10,Kirkuk,Kirkuk,"35,45211","44,375465",3,,,1,95.0,,,,,Al-Qaida in Iraq,,,6,,,,2.0,6,23375.0
16978,2012,4,19,95,10,Diyala,Hadid,"33,77631","44,555672",2,,,3,95.0,,,,,Al-Qaida in Iraq,,,5,,,,1.0,3,70046.0
16979,2012,4,19,95,10,Diyala,Mansuriyat al Jabal,"34,078571","44,959305",2,,,17,95.0,,,,,Al-Qaida in Iraq,,,5,,,,1.0,0,0.0
16980,2012,4,19,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,1,95.0,,,,,Al-Qaida in Iraq,,,6,,,,3.0,11,7216000.0
16981,2012,4,19,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,2.0,8,1937451.0
16982,2012,4,19,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,1.0,2,7216000.0
16984,2012,4,19,95,10,Diyala,Baqubah,"33,74324","44,623825",3,,,3,95.0,,,,,Al-Qaida in Iraq,,,6,,,,3.0,2,0.0
16985,2012,4,19,95,10,Diyala,Baqubah,"33,74324","44,623825",3,,,3,95.0,,,,,Al-Qaida in Iraq,,,6,,,,1.0,2,7216000.0
16986,2012,4,19,95,10,Kirkuk,Kirkuk,"35,45211","44,375465",3,,,3,95.0,,,,,Al-Qaida in Iraq,,,6,,,,0.0,2,601433.0
16987,2012,4,19,95,10,Kirkuk,Kirkuk,"35,45211","44,375465",3,,,3,95.0,,,,,Al-Qaida in Iraq,,,6,,,,2.0,3,601433.0
16988,2012,4,19,95,10,Saladin,Taji,"33,540672","44,251266",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,6.0,9,50698.0
16989,2012,4,19,95,10,Saladin,Taji,"33,540672","44,251266",3,,,3,95.0,14.0,95.0,,,Al-Qaida in Iraq,,,6,,,,1.0,5,0.0
16990,2012,4,19,95,10,Al Anbar,Ramadi,"33,420948","43,295662",3,,,3,95.0,14.0,95.0,,,Al-Qaida in Iraq,,,6,,,,2.0,4,130.0
16991,2012,4,19,95,10,Al Anbar,Ramadi,"33,420948","43,295662",3,,,3,95.0,,,,,Al-Qaida in Iraq,,,6,,,,1.0,3,274539.0
16992,2012,4,19,95,10,Saladin,Samarra,"34,208416","43,890713",3,,,3,95.0,,,,,Al-Qaida in Iraq,,,6,,,,3.0,0,128123.0
16993,2012,4,19,95,10,Saladin,Ishaqi,"34,283333","43,766667",3,,,4,95.0,,,,,Al-Qaida in Iraq,,,6,,,,1.0,0,0.0
16994,2012,4,19,95,10,Saladin,Dujail,"33,835629","44,247406",3,,,20,95.0,,,,,Al-Qaida in Iraq,,,6,,,,0.0,0,26362.0
16995,2012,4,19,95,10,Kirkuk,Dibis,"35,672932","44,070145",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,6.0,4,0.0
16996,2012,4,19,95,10,Kirkuk,Dibis,"35,672932","44,070145",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,1.0,2,0.0
16997,2012,4,19,95,10,Kirkuk,Dibis,"35,672932","44,070145",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,1.0,1,0.0
16998,2012,4,19,95,10,Kirkuk,Dibis,"35,672932","44,070145",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,1.0,1,0.0
16999,2012,4,19,95,10,Kirkuk,Dibis,"35,672932","44,070145",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,1.0,1,0.0
17000,2012,4,19,95,10,Kirkuk,Dibis,"35,672932","44,070145",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,1.0,1,274539.0
17001,2012,4,19,95,10,Diyala,Al-Mansuriyah,"34,068889","44,863056",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,0.0,3,0.0
17002,2012,4,19,95,10,Diyala,Ghudayb,"33,593056","44,501111",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,0.0,3,0.0
17003,2012,4,19,95,10,Saladin,Baiji,"34,92485","43,491413",3,,,1,95.0,,,,,Al-Qaida in Iraq,,,6,,,,0.0,1,36454.0
17004,2012,4,19,95,10,Nineveh,Mosul,"36,354145","43,14357",3,,,1,95.0,,,,,Al-Qaida in Iraq,,,6,,,,0.0,3,2065597.0
17005,2012,4,19,95,10,Al Anbar,Fallujah,"33,349159","43,784199",3,,,3,95.0,14.0,95.0,,,Al-Qaida in Iraq,,,6,,,,1.0,2,190159.0
17006,2012,4,19,95,10,Al Anbar,Fallujah,"33,349159","43,784199",3,,,3,95.0,14.0,95.0,,,Al-Qaida in Iraq,,,6,,,,0.0,2,190159.0
17007,2012,4,19,95,10,Nineveh,Mosul,"36,354145","43,14357",3,,,4,95.0,14.0,95.0,,,Al-Qaida in Iraq,,,6,,,,0.0,0,2065597.0
17008,2012,4,19,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,2.0,6,7216000.0
17009,2012,4,19,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,3,95.0,14.0,95.0,,,Al-Qaida in Iraq,,,6,,,,2.0,4,7216000.0
17010,2012,4,19,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,20,95.0,,,,,Al-Qaida in Iraq,,,6,,,,2.0,0,7216000.0
17013,2012,4,19,95,10,Babil,Musayyib,"32,777344","44,289352",3,,,4,95.0,,,,,Al-Qaida in Iraq,,,6,,,,0.0,5,42901.0
17014,2012,4,19,95,10,Diyala,Khanaqin,"34,347343","45,383274",3,,,4,95.0,,,,,Al-Qaida in Iraq,,,6,,,,0.0,4,0.0
17015,2012,4,19,95,10,Diyala,Baqubah,"33,74324","44,623825",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,0.0,6,152550.0
17034,2012,4,20,200,10,Hamah,Hamah,"35,129181","36,760738",3,,,1,200.0,,,,,Al-Nusrah Front,,,6,,,,,0,460602.0
17037,2012,4,21,228,10,Al Hudaydah,,"14,806614","43,019494",6,,,12,422.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,5,,,,0.0,0,0.0
17041,2012,4,21,228,10,Abyan,Zinjibar,"13,129726","45,385571",9,,,4,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,13,,,,8.0,13,19879.0
17042,2012,4,21,228,10,Abyan,Lawdar,"13,887403","45,863647",3,,,14,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,2.0,2,0.0
17071,2012,4,22,228,10,Hadramawt,Mukalla,"14,54397","49,12458",2,,,3,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,5,,,,6.0,4,258132.0
17093,2012,4,24,94,10,Kermanshah,Paveh,"35,04356","46,359928",9,,,4,94.0,,,,,Kurdistan Free Life Party,,,13,,,,4.0,4,17779.0
17096,2012,4,24,200,10,Damascus,Damascus,"33,515244","36,292084",3,,,14,94.0,4.0,200.0,,,Al-Nusrah Front,,,6,,,,1.0,3,1569394.0
17117,2012,4,24,209,10,,,,,3,,,4,209.0,,,,,Kurdistan Workers' Party (PKK),,,6,,,,0.0,1,2.0
17150,2012,4,26,228,10,Shabwah,Al-Akla,"15,19","46,7338",3,,,21,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,0.0,0,1.0
17167,2012,4,26,228,10,Al Bayda,Radaa,"14,413989","44,837418",9,,,4,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,13,,,,1.0,,0.0
17188,2012,4,27,200,10,Damascus,Al-Midan,"33,515244","36,292084",3,,,3,200.0,15.0,200.0,,,Al-Nusrah Front,,,6,,,,12.0,28,1569394.0
17211,2012,4,28,228,10,Lahij,Lahij,"13,148959","44,85055",1,,,2,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,5,,,,1.0,0,0.0
17267,2012,4,30,228,10,Abyan,Lawdar,"13,887403","45,863647",9,,,4,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,13,,,,15.0,0,0.0
17295,2012,5,1,228,10,Hadramawt,Seiyun,"15,941039","48,780092",2,,,1,69.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,5,,,,2.0,1,1281.0
17337,2012,5,2,95,10,Al Anbar,Zuwayyah,"33,54459","42,933247",3,,,18,95.0,,,,,Al-Qaida in Iraq,,,6,,,,1.0,6,0.0
17339,2012,5,2,228,10,Abyan,Lawdar,"13,887403","45,863647",9,,,17,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,13,,,,4.0,0,0.0
17381,2012,5,4,209,10,Tunceli,Tunceli,"39,106709","39,545246",2,,,4,209.0,,,,,Kurdistan Workers' Party (PKK),,,5,,,,5.0,0,29062.0
17382,2012,5,4,209,10,Sirnak,Gundogdu district,"37,418783","42,492197",2,,,3,209.0,,,,,Kurdistan Workers' Party (PKK),,,5,,,,0.0,2,158508.0
17409,2012,5,5,6,10,Bouira,Krarib,"36,524836","3,754936",3,,,3,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,6,,,,1.0,1,0.0
17410,2012,5,5,200,10,Aleppo,Aleppo,"36,201721","37,14352",3,,,1,200.0,,,,,Free Syrian Army,,,6,,,,5.0,21,1602264.0
17412,2012,5,5,228,10,Abyan,Zinjibar,"13,129726","45,385571",3,,,4,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,0.0,10,19879.0
17417,2012,5,5,209,10,Diyarbakir,,"37,917104","40,230629",3,,,2,209.0,,,,,Kurdistan Workers' Party (PKK),,,6,,,,0.0,0,644763.0
17424,2012,5,5,60,10,North Sinai,,"30,608472","33,617577",6,,,4,60.0,,,,,Bedouin tribesmen,,,5,,,,0.0,0,1.0
17447,2012,5,7,6,10,Bouira,Anif,"36,33563","4,262131",3,,,3,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,6,,,,0.0,1,0.0
17452,2012,5,7,228,10,Abyan,Zinjibar,"13,129726","45,385571",2,,,4,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,5,,,,20.0,,19879.0
17475,2012,5,8,6,10,Bouira,Ath Mansour,"36,3308","4,3011",3,,,3,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,6,,,,0.0,1,20556.0
17476,2012,5,8,6,10,Bouira,Ath Mansour,"36,3308","4,3011",3,,,3,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,6,,,,0.0,0,20556.0
17477,2012,5,8,6,10,Bouira,Ath Mansour,"36,3308","4,3011",3,,,3,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,6,,,,0.0,0,20556.0
17479,2012,5,8,228,10,Abyan,Mudiyah,"13,92891","46,079328",3,,,17,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,1.0,0,0.0
17500,2012,5,9,228,10,Abyan,Zinjibar,"13,129726","45,385571",2,,,4,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,5,,,,6.0,0,19879.0
17503,2012,5,9,228,10,Abyan,Lawdar,"13,887403","45,863647",3,,,4,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,2.0,0,0.0
17518,2012,5,10,200,10,Damascus,Damascus,"33,515244","36,292084",3,,,4,200.0,14.0,200.0,,,Al-Nusrah Front,,,6,,,,57.0,370,1569394.0
17553,2012,5,11,228,10,Marib,Wadi Abida,"15,516118","45,459809",3,,,21,228.0,,,,,Tribesmen,,,6,,,,0.0,0,70.0
17603,2012,5,12,228,10,Amanat Al Asimah,Sanaa,"15,325443","44,211895",6,,,7,32.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,5,9.0,,,0.0,1,1937451.0
17605,2012,5,12,228,10,Amanat Al Asimah,Sanaa,"15,325443","44,211895",2,,,2,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,5.0,,,0.0,1,1937451.0
17626,2012,5,13,228,10,Shabwah,Mayfaa,"14,279772","47,575336",3,,,21,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,0.0,0,0.0
17645,2012,5,14,209,10,Diyarbakir,Senyayla,"38,529632","41,142398",6,,,14,209.0,,,,,Kurdistan Workers' Party (PKK),,,13,,,,0.0,0,0.0
17654,2012,5,13,228,10,,,,,2,,,4,228.0,,,,,Southern Mobility Movement (Yemen),,,5,,,,0.0,5,2.0
17680,2012,5,13,228,10,Marib,,"15,516118","45,459809",3,,,21,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,0.0,0,70.0
17717,2012,5,15,228,10,Adan,Shaykh Uthman,"12,867085","44,981911",3,,,3,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,0.0,2,0.0
17767,2012,5,17,209,10,Hakkari,Derecik,"37,079525","44,308044",3,,,4,209.0,,,,,Kurdistan Workers' Party (PKK),,,6,,,,1.0,1,0.0
17768,2012,5,17,209,10,Hatay,Hatay,"36,204751","36,165597",2,,,4,209.0,,,,,Kurdistan Workers' Party (PKK),,,5,,,,7.0,0,210000.0
17795,2012,5,18,209,10,Bitlis,,"38,39399","42,122659",6,,,4,209.0,14.0,209.0,,,Kurdistan Workers' Party (PKK),,,13,,,,,,46111.0
17819,2012,5,19,228,10,Hadramawt,Fuuwah,"14,474749","49,03429",2,,,3,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,5,,,,0.0,4,419.0
17820,2012,5,19,209,10,Hakkari,Semdinli,"37,303442","44,57696",2,,,1,209.0,,,,,Kurdistan Workers' Party (PKK),,,5,,,,1.0,3,18978.0
17843,2012,5,20,228,10,Al Hudaydah,Al-Hudaydah,"14,781294","42,972851",2,,,4,217.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,5,,,,0.0,1,617871.0
17859,2012,5,21,228,10,Amanat Al Asimah,Sanaa,"15,325443","44,211895",3,,,4,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,97.0,300,1937451.0
17885,2012,5,22,209,10,Diyarbakir,Bayirli,"38,518889","40,635",6,,,14,209.0,,,,,Kurdistan Workers' Party (PKK),,,13,,,,,,0.0
17894,2012,5,22,113,10,Benghazi,Benghazi,"32,069286","20,151144",3,,,12,113.0,,,,,Brigades of Imprisoned Sheikh Omar Abdel-Rahman,,,6,,,,0.0,0,274539.0
17900,2012,5,22,200,10,Aleppo,,"36,226239","37,46814",6,,,14,110.0,,,,,Free Syrian Army,,,5,,,,0.0,0,0.0
17965,2012,5,25,209,10,Kayseri,Pinarbasi,"38,722017","36,39132",3,,,3,209.0,14.0,209.0,,,Kurdistan Workers' Party (PKK),,,6,,,,3.0,19,12333.0
17968,2012,5,25,228,10,Al Bayda,Radaa,"14,413989","44,837418",3,,,14,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,0.0,3,30916.0
17974,2012,5,25,228,10,Al Jawf,Hazm,"16,165407","44,776897",3,,,17,228.0,14.0,228.0,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,15.0,3,7216000.0
17977,2012,5,25,228,10,Saada,Sadaa,"16,917494","43,762409",3,,,17,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,0.0,0,51870.0
18080,2012,5,29,228,10,Abyan,Zinjibar,"13,129726","45,385571",2,,,4,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,5,,,,6.0,0,19879.0
18083,2012,5,29,209,10,Kars,Sarikamis district,"40,273829","42,490832",3,,,21,209.0,,,,,Kurdistan Workers' Party (PKK),,,6,,,,0.0,0,7216000.0
18089,2012,5,30,228,10,Abyan,Jaar,"13,219398","45,307838",2,,,4,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,5,,,,25.0,,0.0
18092,2012,5,30,228,10,Al Bayda,Radaa,"14,413989","44,837418",2,,,4,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,5,,,,1.0,1,42477.0
18118,2012,5,31,209,10,Hakkari,Yuksekova district,"37,562515","44,293677",3,,,20,209.0,,,,,Kurdistan Workers' Party (PKK),,,6,,,,0.0,0,71729.0
18122,2012,5,31,60,10,South Sinai,,"29,310183","34,153195",6,,,18,217.0,,,,,Bedouin tribesmen,,,5,,,,0.0,0,1.0
18135,2012,6,1,97,10,Southern,,"30,829562","35,038816",2,,,4,97.0,,,,,Hamas (Islamic Resistance Movement),Palestinian Islamic Jihad (PIJ),,5,,,,2.0,0,1.0
18159,2012,6,2,209,10,,,,,6,7.0,,18,216.0,,,,,Kurdistan Workers' Party (PKK),,,5,8.0,,,0.0,0,2.0
18165,2012,6,2,228,10,Abyan,Zinjibar,"13,129726","45,385571",3,,,4,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,5.0,6,19879.0
18195,2012,6,2,209,10,Diyarbakir,Lice district,"38,426625","40,670188",3,,,4,209.0,,,,,Kurdistan Workers' Party (PKK),,,6,,,,2.0,0,16336.0
18197,2012,6,4,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,2,95.0,,,,,Al-Qaida in Iraq,,,6,,,,26.0,65,7216000.0
18202,2012,6,4,228,10,Abyan,Am Surrah,"13,657844","45,8434",3,,,14,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,6.0,1,38294.0
18203,2012,6,4,228,10,Abyan,Am Surrah,"13,657844","45,8434",3,,,17,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,1.0,0,2065597.0
18214,2012,6,4,209,10,Hakkari,,"37,445932","43,744984",3,,,4,209.0,,,,,Kurdistan Workers' Party (PKK),,,6,,,,0.0,1,0.0
18223,2012,6,5,113,10,Benghazi,Western Fwayhat,"32,069286","20,151144",3,,,7,217.0,,,,,Brigades of Imprisoned Sheikh Omar Abdel-Rahman,,,6,,,,0.0,0,0.0
18225,2012,6,5,228,10,Abyan,Shoqra,"13,357599","45,69648",3,,,4,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,4.0,1,0.0
18258,2012,6,6,209,10,Diyarbakir,Lice district,"38,426625","40,670188",6,,,4,209.0,14.0,209.0,,,Kurdistan Workers' Party (PKK),,,5,,,,,,0.0
18269,2012,6,6,228,10,Adan,Aden,"12,825647","44,846416",3,,,14,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,2.0,1,1.0
18270,2012,6,6,228,10,Abyan,Zinjibar,"13,129726","45,385571",2,,,4,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,5.0,,,4.0,10,0.0
18272,2012,6,6,228,10,Lahij,,"13,374256","44,754753",3,,,3,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,3.0,0,0.0
18291,2012,6,7,228,10,Abyan,Al-Hisn,"13,293056","45,295",3,,,17,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,0.0,3,0.0
18334,2012,6,8,228,10,Abyan,Jaar,"13,219398","45,307838",2,,,4,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,5,,,,11.0,4,0.0
18338,2012,6,8,209,10,Hakkari,,"37,445932","43,744984",2,,,20,209.0,,,,,Kurdistan Workers' Party (PKK),,,5,,,,2.0,0,0.0
18388,2012,6,10,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Muslim extremists,,,6,,,,6.0,38,7216000.0
18394,2012,6,10,228,10,Ad Dali,,"13,804983","44,775642",2,,,4,228.0,,,,,Southern Mobility Movement (Yemen),,,5,,,,2.0,0,0.0
18416,2012,6,8,228,10,Amanat Al Asimah,Sanaa,"15,325443","44,211895",2,,,2,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,5,,,,1.0,0,1937451.0
18449,2012,6,12,209,10,Istanbul,Istanbul,"41,106178","28,689863",2,,,3,209.0,,,,,Devrimici Halk Kurtulus Cephesi (DHKP/C),,,6,6.0,5.0,,1.0,0,0.0
18450,2012,6,12,113,10,Misrata,Misrata,"32,354923","15,105525",3,,,12,422.0,,,,,Brigades of Imprisoned Sheikh Omar Abdel-Rahman,,,6,,,,0.0,1,386120.0
18467,2012,6,14,228,10,Abyan,Zinjibar,"13,129726","45,385571",3,,,14,228.0,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,6,,,,9.0,0,19879.0
18468,2012,6,13,95,10,Babil,Hillah,"32,469238","44,416637",3,,,1,95.0,3.0,95.0,,,Al-Qaida in Iraq,,,6,,,,20.0,38,289709.0
18469,2012,6,13,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,9.0,21,7216000.0
18470,2012,6,13,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,7.0,20,0.0
18471,2012,6,13,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,7.0,11,7216000.0
18472,2012,6,13,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,15,95.0,,,,,Al-Qaida in Iraq,,,6,,,,1.0,10,128855.0
18473,2012,6,13,95,10,Baghdad,Baghdad,"33,303566","44,371773",2,,,3,95.0,,,,,Al-Qaida in Iraq,,,5,,,,3.0,0,7216000.0
18474,2012,6,13,95,10,Wasit,Aziziyah,"32,901412","45,077723",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,0.0,14,44751.0
18475,2012,6,13,95,10,Al Anbar,Fallujah,"33,349159","43,784199",3,,,3,95.0,,,,,Al-Qaida in Iraq,,,6,,,,1.0,5,190159.0
18476,2012,6,13,95,10,Al Anbar,Fallujah,"33,349159","43,784199",3,,,3,95.0,,,,,Al-Qaida in Iraq,,,6,,,,1.0,5,190159.0
18477,2012,6,13,95,10,Al Anbar,Abu Ghraib,"33,31065","44,038208",3,,,3,95.0,4.0,95.0,,,Al-Qaida in Iraq,,,6,,,,1.0,3,0.0
18478,2012,6,13,95,10,Al Anbar,Abu Ghraib,"33,31065","44,038208",3,,,3,95.0,4.0,95.0,,,Al-Qaida in Iraq,,,6,,,,1.0,3,0.0
18479,2012,6,13,95,10,Al Anbar,Abu Ghraib,"33,31065","44,038208",3,,,3,95.0,4.0,95.0,,,Al-Qaida in Iraq,,,6,,,,1.0,3,0.0
18480,2012,6,13,95,10,Al Anbar,Abu Ghraib,"33,31065","44,038208",3,,,3,95.0,4.0,95.0,,,Al-Qaida in Iraq,,,6,,,,0.0,2,0.0
18481,2012,6,13,95,10,Diyala,Madain,"33,100529","44,584492",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,3.0,11,0.0
18482,2012,6,13,95,10,Diyala,Nahrawan,"33,375759","44,702866",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,2.0,7,0.0
18483,2012,6,13,95,10,Saladin,Balad,"34,010471","44,148235",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,2.0,9,42088.0
18484,2012,6,13,95,10,Saladin,Balad,"34,010471","44,148235",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,2.0,9,42088.0
18485,2012,6,13,95,10,Karbala,Karbala,"32,604393","44,007145",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,2.0,12,434450.0
18486,2012,6,13,95,10,Karbala,Karbala,"32,604393","44,007145",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,1.0,12,434450.0
18487,2012,6,13,95,10,Diyala,Baqubah,"33,749892","44,633421",3,,,3,95.0,,,,,Al-Qaida in Iraq,,,6,,,,3.0,7,37821.0
18488,2012,6,13,95,10,Diyala,Baqubah,"33,74324","44,623825",3,,,3,95.0,,,,,Al-Qaida in Iraq,,,6,,,,0.0,37,152550.0
18489,2012,6,13,95,10,Kirkuk,Kirkuk,"35,45211","44,375465",3,,,4,95.0,,,,,Al-Qaida in Iraq,,,6,,,,,9,601433.0
18490,2012,6,13,95,10,Kirkuk,Kirkuk,"35,45211","44,375465",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,1.0,9,601433.0
18491,2012,6,13,95,10,Kirkuk,Kirkuk,"35,45211","44,375465",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,0.0,9,601433.0
