,iyear,imonth,iday,country,region,provstate,city,latitude,longitude,attacktype1,attacktype2,attacktype3,targtype1,natlty1,targtype2,natlty2,targtype3,natlty3,gname,gname2,gname3,weaptype1,weaptype2,weaptype3,weaptype4,nkill,nwound,population
946,2009,3,18,228,10,Amanat Al Asimah,Sanaa,"15,325443","44,211895",3,,,7,184.0,,,,,Al-Qaida in Yemen,,,6,,,,1.0,,1937451.0
966,2009,3,19,6,10,Setif (Stif),Negrine,"34,485829","7,518017",3,,,20,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,6,,,,1.0,2,0.0
1000,2009,3,23,95,10,Diyala,Jalawlah,"34,271034","45,163567",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,16.0,30,0.0
1046,2009,3,24,6,10,Tizi Ouzou Province,Ouacif,"36,522222","4,203056",2,,,3,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,5,,,,2.0,2,0.0
1050,2009,3,26,6,10,Tizi Ouzou Province,Azeffoun,"36,893792","4,420652",9,,,4,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,13,,,,1.0,,0.0
1209,2009,4,6,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Asa'ib Ahl al-Haqq,,,6,,,,0.0,4,7216000.0
1210,2009,4,6,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,1,95.0,,,,,Al-Qaida in Iraq,,,6,,,,6.0,16,7216000.0
1211,2009,4,6,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,10.0,65,7216000.0
1212,2009,4,6,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,2,95.0,,,,,Al-Qaida in Iraq,,,6,,,,2.0,4,7216000.0
1213,2009,4,6,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,4.0,20,0.0
1214,2009,4,6,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,8,95.0,3.0,95.0,15.0,95.0,Al-Qaida in Iraq,,,6,,,,12.0,25,7216000.0
1215,2009,4,6,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,1,95.0,,,,,Al-Qaida in Iraq,,,6,,,,12.0,25,7216000.0
1216,2009,4,6,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Islamic State of Iraq (ISI),Mahdi Army,,6,,,,5.0,15,7216000.0
1226,2009,4,6,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,12.0,5,7216000.0
1228,2009,4,7,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,1,95.0,,,,,Asa'ib Ahl al-Haqq,,,6,,,,0.0,0,7216000.0
1229,2009,4,7,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,7.0,,15,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,9.0,20,7216000.0
1238,2009,4,8,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,7.0,23,7216000.0
1244,2009,4,8,6,10,Jijel Province,Al Aouana,"36,775","5,599722",2,,,1,30.0,,,,,Insurgents,,,5,,,,3.0,0,0.0
1263,2009,4,9,6,10,Boumerdes,Imaghninene,"36,742004","3,726194",3,,,2,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,6,,,,0.0,1,0.0
1324,2009,4,14,95,10,Diyala,Baqubah,"33,74324","44,623825",3,,,14,95.0,,,,,Al-Qaida in Iraq,,,6,,,,0.0,3,152550.0
1349,2009,4,15,95,10,Kirkuk,Kirkuk,"35,45211","44,375465",3,,,3,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,11.0,21,601433.0
1473,2009,4,24,94,10,Kermanshah,Ravansar,"34,714135","46,652317",2,,,3,94.0,,,,,Kurdistan Free Life Party,,,5,,,,20.0,0,152550.0
1513,2009,4,27,209,10,Istanbul,Istanbul,"41,106178","28,689863",2,,,3,209.0,,,,,Revolutionary Headquarters (Turkey),,,5,,,,3.0,8,0.0
1536,2009,4,29,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,45.0,78,7216000.0
1539,2009,4,29,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,15,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,3.0,8,7216000.0
1552,2009,4,29,209,10,Ankara,Ankara,"39,930771","32,76754",3,,,2,209.0,,,,,Devrimici Halk Kurtulus Cephesi (DHKP/C),,,6,,,,0.0,0,300000.0
1577,2009,5,1,95,10,Kirkuk,Kirkuk,"35,45211","44,375465",3,2.0,,15,95.0,,,,,Islamic State of Iraq (ISI),,,6,5.0,,,0.0,2,601433.0
1590,2009,5,2,6,10,Boumerdes,Zemmouri,"36,786668","3,603268",2,,,3,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,5,,,,2.0,1,0.0
1695,2009,5,11,228,10,Saada,As Safra district,"17,028705","43,668967",9,,,14,228.0,,,,,Al-Shabaab al-Mu'minin,,,13,,,,3.0,4,201.0
1765,2009,5,14,6,10,Jijel,El Ancer,"36,79885","6,15721",3,,,19,6.0,4.0,6.0,,,Al-Qaida in the Islamic Maghreb (AQIM),,,6,,,,0.0,3,0.0
1837,2009,5,20,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,41.0,83,7216000.0
1839,2009,5,20,6,10,Medea Province,Medea,"36,266752","2,750468",3,2.0,,3,6.0,,,,,Militants,,,6,5.0,,,5.0,1,147707.0
1862,2009,5,22,155,10,Gaza Strip,,"31,362279","34,362453",3,2.0,,2,155.0,,,,,Palestinian Islamic Jihad (PIJ),,,6,6.0,5.0,,2.0,0,31272.0
1895,2009,5,0,6,10,Biskra Province,M'Chouneche,"34,94338","5,996477",2,,,4,6.0,,,,,Militants,,,5,,,,10.0,7,0.0
1925,2009,5,28,209,10,Hakkari,Cukurca,"37,253172","43,612234",7,,,1,209.0,,,,,Kurdistan Workers' Party (PKK),,,8,,,,0.0,0,8843.0
1940,2009,5,29,94,10,Sistan and Balochistan,Zahedan,"29,483576","60,862701",2,,,2,94.0,,,,,Jundallah (Iran),,,5,,,,0.0,3,551980.0
1972,2009,5,30,95,10,Babil,Iskandariyah,"32,887157","44,341637",3,,,14,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,1.0,,0.0
2010,2009,6,2,6,10,Boumerdès Province,Timezrit,"36,672703","3,809529",3,2.0,,8,6.0,3.0,6.0,,,Al-Qaida in the Islamic Maghreb (AQIM),,,6,5.0,,,10.0,2,0.0
2137,2009,6,10,95,10,Dhi Qar,Batha,"31,113592","45,883691",3,,,14,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,28.0,45,0.0
2155,2009,6,11,228,10,Amran,,"15,554965","48,1728",6,,,1,228.0,,,,,Tribal Group,,,5,,,,0.0,0,289709.0
2170,2009,6,12,228,10,Saada,Nushur,"17,073056","43,800625",6,2.0,,14,75.0,14.0,216.0,14.0,184.0,Houthi extremists (Ansar Allah),,,13,,,,6.0,,50.0
2212,2009,6,15,95,10,Diyala,Khalis,"33,848618","44,522125",3,,,14,95.0,,,,,Asa'ib Ahl al-Haqq,,,6,,,,0.0,2,0.0
2243,2009,6,17,6,10,Bordj Bou Arreridj Province,Mansaurah,"36,077754","4,462888",3,2.0,,3,6.0,14.0,6.0,,,Al-Qaida in the Islamic Maghreb (AQIM),,,6,,,,19.0,8,22117.0
2288,2009,6,20,95,10,Kirkuk,Taza Khurmatu,"35,303047","44,329933",3,,,15,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,83.0,211,0.0
2306,2009,6,22,6,10,Khenchela,Chechar,"35,036841","7,021988",2,6.0,,3,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,9,,,,5.0,0,1602264.0
2416,2009,6,30,95,10,Kirkuk,Kirkuk,"35,45211","44,375465",3,,,14,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,35.0,95,601433.0
2457,2009,7,4,95,10,Kirkuk,Kirkuk,"35,45211","44,375465",2,,,3,95.0,,,,,Ansar al-Islam,,,5,,,,1.0,0,601433.0
2483,2009,7,5,6,10,Batna,Merkounda,"35,584338","5,860815",3,,,4,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,6,,,,0.0,2,0.0
2496,2009,7,6,209,10,Sirnak,Silopi,"37,248935","42,470654",3,,,19,209.0,,,,,Kurdistan Workers' Party (PKK),,,6,,,,4.0,9,74798.0
2536,2009,7,9,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,1,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,1.0,5,7216000.0
2547,2009,7,9,95,10,Nineveh,Tal Afar,"36,376823","42,448875",1,,,3,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,36.0,60,0.0
2575,2009,7,11,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,2,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,2.0,11,7216000.0
2586,2009,7,12,95,10,Dhi Qar,Nasiriyah,"31,044371","46,261452",1,,,7,217.0,,,,,Mahdi Army,Asa'ib Ahl al-Haqq,,6,,,,0.0,0,400249.0
2685,2009,7,18,6,10,Tizi Ouzou Province,Tabarkoukt,"36,70385","4,038357",2,,,4,6.0,,,,,Islamist extremists,,,5,,,,2.0,0,144000.0
2701,2009,7,20,95,10,Kirkuk,Kirkuk,"35,45211","44,375465",1,,,2,95.0,,,,,Ansar al-Islam,,,6,,,,0.0,2,601433.0
2712,2009,7,21,95,10,Al Anbar,Ramadi,"33,420948","43,295662",3,,,3,95.0,,,,,Iraqi Sunni Extremists,,,6,,,,6.0,20,274539.0
2713,2009,7,21,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Mahdi Army,,,6,,,,4.0,39,7216000.0
2714,2009,7,21,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,14,95.0,,,,,Mahdi Army,,,6,,,,4.0,31,7216000.0
2724,2009,7,20,6,10,Boumerdes Province,Dellys,"36,919552","3,891396",3,,,4,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,6,,,,1.0,0,26384.0
2736,2009,7,22,95,10,Diyala,Imam Ways,"33,645278","44,641944",2,,,20,94.0,,,,,Islamic State of Iraq (ISI),,,5,,,,5.0,35,0.0
2771,2009,7,25,95,10,Al Anbar,Fallujah,"33,349159","43,784199",3,,,2,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,3.0,15,190159.0
2779,2009,7,26,6,10,Jijel Province,Laalaoucha,"36,3822","1,2528",3,,,4,6.0,,,,,Islamist extremists,,,6,,,,1.0,1,0.0
2821,2009,7,26,6,10,Mascara Province,,"35,400171","0,139933",9,,,4,6.0,,,,,Al-Qaida in the Islamic Maghreb (AQIM),,,13,,,,2.0,0,0.0
2843,2009,7,29,6,10,Tipaza Province,,"36,526708","2,344489",3,2.0,,4,6.0,,,,,Rebels,,,6,5.0,,,14.0,7,0.0
2881,2009,7,31,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,15,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,0.0,6,7216000.0
2882,2009,7,31,95,10,Baghdad,Baghdad,"33,303566","44,371773",3,,,15,95.0,,,,,Islamic State of Iraq (ISI),,,6,,,,24.0,107,7216000.0
